call_id,call_start_dt,answer_wait,talk_time,group_name,systemSource,cell
4202729,4/30/2018 19:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202714,4/30/2018 19:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202713,4/30/2018 19:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202706,4/30/2018 19:19,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202685,4/30/2018 19:13,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202679,4/30/2018 19:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202637,4/30/2018 19:02,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202634,4/30/2018 19:01,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202612,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202607,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202605,4/30/2018 18:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202608,4/30/2018 18:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202600,4/30/2018 18:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202595,4/30/2018 18:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202591,4/30/2018 18:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202585,4/30/2018 18:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202562,4/30/2018 18:43,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202555,4/30/2018 18:42,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202549,4/30/2018 18:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202535,4/30/2018 18:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202534,4/30/2018 18:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202531,4/30/2018 18:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202527,4/30/2018 18:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202522,4/30/2018 18:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202518,4/30/2018 18:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202503,4/30/2018 18:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202499,4/30/2018 18:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202497,4/30/2018 18:26,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202495,4/30/2018 18:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202486,4/30/2018 18:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202488,4/30/2018 18:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202479,4/30/2018 18:19,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202478,4/30/2018 18:18,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202432,4/30/2018 18:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202426,4/30/2018 18:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202403,4/30/2018 17:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202389,4/30/2018 17:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202374,4/30/2018 17:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202369,4/30/2018 17:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202357,4/30/2018 17:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202346,4/30/2018 17:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202342,4/30/2018 17:32,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202329,4/30/2018 17:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202315,4/30/2018 17:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202304,4/30/2018 17:15,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202276,4/30/2018 17:04,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202262,4/30/2018 16:59,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202234,4/30/2018 16:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202237,4/30/2018 16:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202233,4/30/2018 16:53,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202224,4/30/2018 16:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202220,4/30/2018 16:50,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202207,4/30/2018 16:45,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202206,4/30/2018 16:44,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202197,4/30/2018 16:43,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202186,4/30/2018 16:40,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202164,4/30/2018 16:34,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202147,4/30/2018 16:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202148,4/30/2018 16:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202146,4/30/2018 16:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202142,4/30/2018 16:28,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202117,4/30/2018 16:21,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202114,4/30/2018 16:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202106,4/30/2018 16:18,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202092,4/30/2018 16:14,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202054,4/30/2018 16:02,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202028,4/30/2018 15:54,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202022,4/30/2018 15:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4202006,4/30/2018 15:47,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201992,4/30/2018 15:37,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201963,4/30/2018 15:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201961,4/30/2018 15:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201911,4/30/2018 15:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201899,4/30/2018 15:09,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201888,4/30/2018 15:06,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201872,4/30/2018 15:01,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201856,4/30/2018 14:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201851,4/30/2018 14:55,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201837,4/30/2018 14:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201800,4/30/2018 14:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201799,4/30/2018 14:37,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201779,4/30/2018 14:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201759,4/30/2018 14:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201758,4/30/2018 14:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201724,4/30/2018 14:11,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201709,4/30/2018 14:03,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201705,4/30/2018 14:03,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201694,4/30/2018 13:57,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201693,4/30/2018 13:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201690,4/30/2018 13:56,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201679,4/30/2018 13:51,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201649,4/30/2018 13:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201644,4/30/2018 13:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201598,4/30/2018 13:22,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201592,4/30/2018 13:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201573,4/30/2018 13:12,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201566,4/30/2018 13:10,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201519,4/30/2018 12:57,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201497,4/30/2018 12:48,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201492,4/30/2018 12:45,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201481,4/30/2018 12:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201479,4/30/2018 12:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201476,4/30/2018 12:36,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4201472,4/30/2018 12:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
