Received applications,  RS Additions,  RS Alterations + Int Alt,  RS Demolitions,  RS Move,  RS New,  RS Fire Repair,  RS Other,  RS subtotal,  CO Addition,  CO Alteration,  CO Demolition,  CO Move,  CO New,  CO Fire Repair,  CO Other,  CO subtotal,  MG Addition,  MG Alteration,  MG Demolition,  MG Move,  MG New,  MG Fire Repair,  MG Other,  MG subtotal,  Site Development-CO,  Site Development-RS,  Zoning Permits-CO,  Zoning Permits-RS,  Manufactured Dw,  Facility Permits-BLD,  Total Other Apps,  Total Applications,,,,,,
Valuation  ,"$4,266,951 ","4,141,628","176,090",,"16,734,601",,,"$25,319,270 ","$1,892,085 ","10,292,742","128,800",,"58,458,045","75,000",,"$70,846,672 ",$0 , - , - , - , - , - , - ,$0 ,"$159,000 ","434,798","37,925","21,700",,"25,079,591","$25,733,014 ","$121,898,956 ",,,,,,
Month of applications,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,16-Feb,,,,,,
No. ,58,330,70,,147,1,,606,25,161,17,,43,2,,248, - , - , - , - , - , - , - , - ,3,2,1,11,2,100,119,973,,,,,,
Valuation  ,"$3,519,446 ","6,155,920","294,303",,"24,206,541","1,200",,"$34,177,410 ","$1,649,566 ","22,221,489","424,400",,"131,685,244","11,100",,"$155,991,799 ",$0 , - , - , - , - , - , - ,$0 ,"$2,650,000 ","1,500","5,000","28,600","44,824","34,259,398","$36,989,322 ","$227,158,531 ",,,,,,
Month of applications,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,16-Mar,,,,,,
No. ,80,342,68,,151,2,,643,37,155,6,,49,1,,248, - , - , - , - , - , - , - , - ,1,2,,12,2,88,105,996,,,,,,
Valuation  ,"$4,231,863 ","7,576,578","233,350",,"29,963,551","21,000",,"$42,026,342 ","$7,571,847 ","206,333,696","215,000",,"141,593,353","52,500",,"$355,766,396 ",$0 , - , - , - , - , - , - ,$0 ,"$36,000 ","35,000",,"51,590","12,500","23,590,010","$23,725,100 ","$421,517,838 ",,,,,,
Month of applications,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,16-Apr,,,,,,
No. ,75,364,75,,119,1,,634,35,135,7,,42,,,219, - , - , - , - , - , - , - , - ,,2,6,21,2,102,133,986,,,,,,
Valuation  ,"$5,250,570 ","8,627,064","239,350",,"20,716,274",200,,"$34,833,458 ","$4,228,742 ","25,108,571","119,500",,"151,050,645",,,"$180,507,458 ",$0 , - , - , - , - , - , - ,$0 ,,"102,068","226,675","65,700","50,000","28,028,858","$28,473,301 ","$243,814,217 ",,,,,,
Month of applications,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,16-May,,,,,,
No. ,94,317,67,,119,1,,598,21,180,12,,33,1,,247, - , - , - , - , - , - , - , - ,3,3,2,14,1,108,131,976,,,,,,
Valuation  ,"$5,916,940 ","6,581,545","232,957",,"20,607,970","17,750",,"$33,357,162 ","$2,375,329 ","16,017,788","346,225",,"88,448,843","75,000",,"$107,263,185 ",, - , - , - , - , - , - ,$0 ,"$350,900 ","793,500","103,500","102,625","5,000","38,473,342","$39,828,867 ","$180,449,214 ",,,,,,
Month of applications,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,16-Jun,,,,,,
No. ,68,386,51,,120,1,,626,15,157,14,,48,,,234, - , - , - , - , - , - , - , - ,3,,6,14,2,113,138,998,,,,,,
Valuation  ,"$5,911,071 ","7,912,326","159,450",,"21,562,702","4,809",,"$35,550,358 ","$12,844,405 ","19,780,663","777,500",,"249,863,179",,,"$283,265,747 ",$0 , - , - , - , - , - , - ,$0 ,"$119,000 ",,"166,400","56,250","47,764","16,507,676","$16,897,090 ","$335,713,195 ",,,,,,
Month of applications,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,16-Jul,,,,,,
No.,80,327,51,1,163,1,,623,14,156,14,,53,,,237,,,,,,,, - ,1,5,4,10,1, - ,21,881,,,,,,
Valuation ,"$4,854,444 ","7,227,954","207,070","50,000","28,422,821","17,750",,"$40,780,039 ","$547,335 ","26,730,936","4,688,500",,"225,338,723",,,"$257,305,494 ",,,,,,,, - ,"$25,000 ","312,893","36,000","36,650","24,000", - ,"$434,543 ","$298,520,076 ",,,,,,
