call_id,call_start_dt,answer_wait,talk_time,group_name,systemSource,cell
4305735,5/31/2018 18:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305728,5/31/2018 18:46,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305706,5/31/2018 18:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305709,5/31/2018 18:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305697,5/31/2018 18:35,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305676,5/31/2018 18:30,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305672,5/31/2018 18:28,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305666,5/31/2018 18:27,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305658,5/31/2018 18:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305657,5/31/2018 18:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305652,5/31/2018 18:21,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305648,5/31/2018 18:21,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305646,5/31/2018 18:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305651,5/31/2018 18:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305643,5/31/2018 18:20,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305628,5/31/2018 18:14,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305600,5/31/2018 18:03,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305576,5/31/2018 17:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305575,5/31/2018 17:52,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305525,5/31/2018 17:39,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305523,5/31/2018 17:38,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305519,5/31/2018 17:37,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305491,5/31/2018 17:31,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305487,5/31/2018 17:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305474,5/31/2018 17:26,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305469,5/31/2018 17:25,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305466,5/31/2018 17:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305461,5/31/2018 17:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305436,5/31/2018 17:16,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305406,5/31/2018 17:08,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305397,5/31/2018 17:07,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305391,5/31/2018 17:06,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305388,5/31/2018 17:05,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305378,5/31/2018 17:00,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305354,5/31/2018 16:54,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305343,5/31/2018 16:49,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305307,5/31/2018 16:33,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305293,5/31/2018 16:29,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305262,5/31/2018 16:24,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305261,5/31/2018 16:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
4305259,5/31/2018 16:23,NULL,NULL,BOEC Wireless,FromNewPhoneSystem,0
